Index,x1,x2
0,0.057297338,-0.5188567
1,-0.14266858,0.92660564
2,0.10593935,0.44926634
3,0.003569968,-0.98679
4,-0.40135384,-0.29247066
5,0.70623696,-0.5947749
6,0.38583255,0.17701584
7,0.33057898,-0.40840793
8,0.31723315,0.3224153
9,0.48799092,-0.1269723
10,0.05754591,-0.97671026
11,-0.057066288,0.42996317
12,0.5544488,-0.89192414
13,-0.26851195,0.4133008
14,0.43381998,0.07555704
15,-0.20653985,0.4726166
16,0.017853443,1.0325809
17,-0.4464238,-2.76E-05
18,-0.21400194,0.3869708
19,-0.4961263,-0.8231985
20,-0.2735594,-0.51956725
21,-0.26894355,0.43155795
22,-0.3560359,-0.43434808
23,-0.96164286,0.40663183
24,0.9917373,0.14136457
25,-0.43534547,-0.9000911
26,-0.4234754,-0.94188553
27,0.42066815,-0.95484984
28,-0.5018845,-0.18086752
29,-0.27460513,0.95667815
30,0.29215586,0.47233534
31,-0.054824203,0.9412545
32,-0.8319396,-0.5520179
33,0.51186574,0.0995302
34,-0.14295387,0.55303895
35,-0.2889887,-0.39476058
36,0.45003337,-0.013747298
37,0.8617003,0.12624758
38,-0.44816232,0.23760994
39,-0.5733435,0.8688954
40,0.33976927,0.29328403
41,-0.2588459,0.45589587
42,0.68658376,-0.7140345
43,0.36014682,-0.925734
44,-0.26837412,0.99410343
45,0.5273683,-0.022486117
46,-0.08381928,-0.92715675
47,-0.081785806,-0.47855365
48,0.35568488,-0.13997371
49,0.55682033,0.85299104
50,0.41375315,0.2688273
51,-0.2423486,-0.40038076
52,0.21715026,-0.43695182
53,-0.4563267,0.09565848
54,0.6966523,0.6893987
55,0.5717918,-0.8038056
56,0.4979214,0.2854095
57,-0.4933677,-0.25224832
58,0.26567465,-0.40200844
59,0.21369517,0.9360686
60,0.087463416,1.0057873
61,-0.3445735,1.0498728
62,0.26975083,-0.43549705
63,-0.5854884,0.12560813
64,-0.42289162,0.20142896
65,1.0365222,0.002113062
66,-0.12202762,-0.9856125
67,0.29822004,-0.9746752
68,-0.47549525,-0.019718075
69,-0.16076513,-0.4946064
70,-0.28788495,0.39496803
71,0.7409251,-0.4187787
72,-1.0161215,-0.10052862
73,-0.46409616,-0.17865603
74,-0.44330513,-0.2886686
75,0.023834813,0.51768076
76,-0.4295428,-0.25147393
77,-0.8375376,0.5116969
78,-0.7620128,0.6197641
79,0.2536554,-0.92241997
80,-0.17195989,0.43279496
81,-0.36689624,0.24002965
82,-1.0463346,-0.10375908
83,-0.2731354,0.4064525
84,0.15343605,0.5876947
85,0.30720514,0.39108926
86,-0.32296267,0.8772317
87,-0.18907213,-0.5158463
88,-0.41710106,0.15465255
89,0.5436497,0.8701821
90,-0.9081392,0.331223
91,-0.3158935,0.2981975
92,1.0175514,0.08518539
93,0.4288912,-0.17653559
94,0.08661691,-1.051125
95,-0.31565857,0.52446276
96,-0.06277023,-1.1192261
97,-0.39481643,0.86415416
98,-0.47319847,-0.051764518
99,0.49632043,-0.18874215
100,0.47017732,0.16357628
101,0.9362302,-0.006081848
102,-0.54150254,-0.7195691
103,-0.10106359,0.49330136
104,-0.12915254,-0.47842276
105,-0.9276906,0.08175116
106,0.40303126,0.11874491
107,-0.5739275,0.8182461
108,-0.34939614,-0.384882
109,-0.44005784,0.10432145
110,0.83132666,-0.39580938
111,-0.50933766,0.088076174
112,-0.14405489,0.49564904
113,-0.18135738,0.5005702
114,-0.40636337,0.35775566
115,-0.908413,-0.39600846
116,0.5573984,-0.3107223
117,-0.04766352,-0.5326905
118,0.59612703,-0.7313382
119,0.112660915,0.8423527
120,-1.0334973,0.13002624
121,0.5059834,-0.030246241
122,-0.2075136,-0.4477838
123,-0.0863566,-0.52440476
124,1.0073011,0.2104032
125,-0.8743686,0.14310738
126,0.057741787,0.55187076
127,-0.19673921,-0.43380603
128,-0.74786186,0.6682968
129,-0.08218523,-0.4030791
130,0.3739801,0.41503942
131,-0.37406185,0.29917684
132,-0.34815812,-0.3993295
133,0.31373054,-0.8699577
134,0.62741697,0.7585774
135,-1.1217829,-0.10382396
136,-0.4923561,0.07530143
137,0.9062048,0.29716733
138,0.4473591,-0.92813456
139,1.1154324,-0.071433336
140,-0.669906,-0.76817155
141,-0.42533314,0.39237309
142,-0.17849974,-0.51482046
143,-0.14641777,0.52751637
144,0.46437454,0.17634557
145,-0.25853106,0.93532765
146,0.4167963,0.8337937
147,-0.6178808,0.81966263
148,0.4923187,0.2166569
149,0.004946218,-0.9788437
150,-0.61308855,0.6904491
151,-0.80744004,-0.6129147
152,0.56138825,-0.027268836
153,-0.23659702,0.50935036
154,-0.4793363,-0.21970834
155,0.38106534,0.32914877
156,-0.4149543,-0.17709264
157,0.318255,-0.40300283
158,-0.85237783,0.5202116
159,0.009330423,1.0353446
160,-0.38018507,0.3367802
161,-0.7462774,-0.6372025
162,0.9326747,-0.2617722
163,1.0200119,-0.004503291
164,-0.5140526,0.025428018
165,-0.9767197,0.15430912
166,0.41664678,0.32124555
167,0.99353087,0.12399675
168,0.09334716,0.47565025
169,-1.0328845,-0.045908265
170,0.42945042,0.117966436
171,-0.10326647,-0.5236716
172,0.8741455,0.3531657
173,0.9165318,0.5968719
174,-0.32117376,0.37321407
175,0.44481432,0.056613296
176,-0.25437546,0.98503655
177,-0.15026149,0.37912232
178,0.03943522,-0.53495884
179,-0.965999,0.21320419
180,0.31686002,-0.35758376
181,0.8283424,-0.68891525
182,0.96753156,-0.08477411
183,-0.99498004,-0.33999476
184,-0.5036399,0.2521291
185,0.8768672,0.4620195
186,0.10097903,-0.95987314
187,6.46E-05,0.47829053
188,-0.90294945,-0.4816335
189,-0.3560767,0.38225174
190,0.84093326,0.5144222
191,-0.04672694,1.0282898
192,0.4690189,-0.2495565
193,-0.6504377,-0.7223391
194,-0.8239178,0.27932462
195,-0.49863413,0.17564443
196,-0.24293806,0.4315937
197,0.015200445,-1.0339609
198,0.1664795,1.0339359
199,0.5245567,-0.17546684
200,0.3097956,-0.96389896
201,0.032914788,0.5141448
202,0.43751046,-0.27470097
203,-0.4950482,0.07027178
204,-0.7977374,-0.56068075
205,-0.095654376,-0.48954687
206,0.94163305,-0.032160945
207,0.64765847,-0.88254666
208,-0.81778634,0.556912
209,-0.37572804,-0.9464757
210,0.73747087,0.72488445
211,-0.4256902,-0.4005933
212,-0.40456828,-0.90232676
213,0.9242543,-0.31710058
214,1.0102081,-0.18440476
215,-0.3886048,0.8930753
216,0.7040231,0.6219096
217,-0.31770858,-0.267137
218,0.46923274,0.80861187
219,-0.88377,0.45605657
220,-1.0083954,-0.008366981
221,-0.9145035,0.09294191
222,-0.36062828,-0.34561074
223,0.017127272,0.50618595
224,0.61265206,-0.78708804
225,0.4005685,-0.93333507
226,1.0151354,0.39974198
227,0.4930915,0.8356465
228,-0.15323599,-0.9979603
229,0.3134948,-0.36128387
230,-0.3794397,-0.40025148
231,0.47408754,0.25230795
232,-0.015274002,-1.0231681
233,0.44111076,-0.19159238
234,0.7761396,-0.6069177
235,0.12043792,0.5008283
236,-0.71633756,-0.67977494
237,-0.5092023,0.28782934
238,0.17082773,0.48649362
239,-0.40834293,-0.18311948
240,0.41030705,-0.12591843
241,0.09258939,-0.4584741
242,-0.96274346,-0.31977722
243,-0.9530032,-0.37603235
244,0.9321649,-0.29911608
